problem_key,shard,tags
498_B. Name That Tune,00001,dp|probabilities|two pointers
521_C. Pluses everywhere,00001,combinatorics|dp|math|number theory
548_E. Mike and Foam,00001,bitmasks|combinatorics|dp|math|number theory
575_B. Bribes,00001,dfs and similar|graphs|trees
596_E. Wilbur and Strings,00001,dfs and similar|dp|graphs|strings
618_B. Guess the Permutation,00001,constructive algorithms
638_D. Three-dimensional Turtle Super Computer ,00001,brute force|dfs and similar|graphs
666_B. World Tour,00001,graphs|shortest paths
690_A1. Collective Mindsets (easy),00001,
712_D. Memory and Scores,00001,combinatorics|dp|math
733_C. Epidemic in Monstropolis,00001,constructive algorithms|dp|greedy|two pointers
757_D. Felicity's Big Secret Revealed,00001,bitmasks|dp
779_A. Pupils Redistribution,00001,constructive algorithms|math
802_I. Fake News (hard),00001,string suffix structures
825_E. Minimal Labels,00002,data structures|dfs and similar|graphs|greedy
848_C. Goodbye Souvenir,00002,data structures|divide and conquer
870_A. Search for Pretty Integers,00002,brute force|implementation
"896_E. Welcome home, Chtholly",00002,data structures|dsu
918_A. Eleven,00002,brute force|implementation
940_A. Points on the line,00002,brute force|greedy|sortings
967_D. Resource Distribution,00002,binary search|implementation|sortings
993_D. Compute Power,00002,binary search|dp|greedy
p02630 AtCoder Beginner Contest 171 - Replacing,00002,
p02761 AtCoder Beginner Contest 157 - Guess The Number,00002,
p02896 AtCoder Grand Contest 039 - Min Product Sum,00002,
p03031 AtCoder Beginner Contest 128 - Switches,00002,
p03172 Educational DP Contest - Candies,00002,
p03318 AtCoder Beginner Contest 101 - Snuke Numbers,00002,
p03474 AtCoder Beginner Contest 084 - Postal Code,00002,
p03637 AtCoder Beginner Contest 069 - 4-adjacent,00002,
p03794 Mujin Programming Challenge 2017 - Oriented Tree,00002,
p03963 AtCoder Beginner Contest 046 - Painting Balls with AtCoDeer,00002,
p00054 Sum of Nth decimal places,00002,
p00184 Tsuruga Castle,00002,
p00340 Rectangle,00002,
p00534 Silk Road,00002,
p00698 Missing Numbers,00002,
p00839 Organize Your Train,00002,
p00971 Shortest Common Non-Subsequence,00002,
p01103 A Garden with Ponds,00002,
p01240 Oil Company,00002,
p01402 Anipero,00002,
p01556 ConvexCut,00002,
p01711 Idempotent Filter,00002,
p01856 Typhoon,00002,
p01991 Namo.. Cut,00002,
p02137 Special Chat,00002,
p02278 Minimum Cost Sort,00002,
p02425 Bit Flag,00002,
1008_D. Pave the Parallelepiped,00002,bitmasks|brute force|combinatorics|math|number theory
1031_B. Curiosity Has No Limits,00002,
1054_B. Appending Mex,00002,implementation
1076_B. Divisor Subtraction,00002,implementation|math|number theory
1097_B. Petr and a Combination Lock,00002,bitmasks|brute force|dp
1118_C. Palindromic Matrix,00002,constructive algorithms|implementation
1144_F. Graph Without Long Directed Paths,00002,dfs and similar|graphs
1165_E. Two Arrays and Sum of Functions,00002,greedy|math|sortings
1184_D1. Parallel Universes (Easy),00002,implementation
1203_A. Circle of Students,00002,implementation
121_C. Lucky Permutation,00002,brute force|combinatorics|number theory
1244_G. Running in Pairs,00002,constructive algorithms|greedy|math
1264_D2. Beautiful Bracket Sequence (hard version),00002,combinatorics|probabilities
1286_A. Garland,00002,dp|greedy|sortings
1305_B. Kuroni and Simple Strings,00002,constructive algorithms|greedy|strings|two pointers
1329_D. Dreamoon Likes Strings,00002,constructive algorithms|data structures
1349_D. Slime and Biscuits,00002,math|probabilities
136_B. Ternary Logic,00002,implementation|math
1392_B. Omkar and Infinity Clock,00002,implementation|math
1416_D. Graph and Queries,00002,data structures|dsu|graphs|implementation|trees
1433_C. Dominant Piranha,00002,constructive algorithms|greedy
1458_B. Glass Half Spilled,00002,dp
1481_B. New Colony,00002,brute force|greedy|implementation
1508_C. Complete the MST,00002,bitmasks|brute force|data structures|dfs and similar|dsu|graphs|greedy|trees
1534_D. Lost Tree,00002,constructive algorithms|interactive|trees
181_B. Number of Triplets,00002,binary search|brute force
204_D. Little Elephant and Retro Strings,00002,dp
229_C. Triangles,00002,combinatorics|graphs|math
253_A. Boys and Girls,00002,greedy
278_B. New Problem,00002,brute force|strings
300_A. Array,00002,brute force|constructive algorithms|implementation
325_D. Reclamation,00002,dsu
348_E. Pilgrims,00002,dfs and similar|dp|trees
372_A. Counting Kangaroos is Fun,00002,binary search|greedy|sortings|two pointers
393_C. Blocked Points,00002,math
416_D. Population Size,00002,greedy|implementation|math
443_B. Kolya and Tandem Repeat,00002,brute force|implementation|strings
465_C. No to Palindromes!,00002,greedy|strings
489_B. BerSU Ball,00002,dfs and similar|dp|graph matchings|greedy|sortings|two pointers
513_A. Game,00002,constructive algorithms|math
538_B. Quasi Binary,00002,constructive algorithms|dp|greedy|implementation
566_C. Logistical Questions,00002,dfs and similar|divide and conquer|trees
587_D. Duff in Mafia,00002,2-sat|binary search
609_F. Frogs and mosquitoes,00002,data structures|greedy
630_E. A rectangle,00002,math
658_B. Bear and Displayed Friends,00002,implementation
680_D. Bear and Tower of Cubes,00002,binary search|dp|greedy
703_C. Chris and Road,00002,geometry|implementation
725_C. Hidden Word,00002,brute force|constructive algorithms|implementation|strings
747_C. Servers,00002,implementation
76_F. Tourist,00002,binary search|data structures|dp
794_C. Naming Company,00002,games|greedy|sortings
815_B. Karen and Test,00002,brute force|combinatorics|constructive algorithms|math
840_B. Leha and another game about graph,00002,constructive algorithms|data structures|dfs and similar|dp|graphs
860_C. Tests Renumeration,00002,greedy|implementation
887_B. Cubes for Masha,00002,brute force|implementation
90_B. African Crossword,00002,implementation|strings
931_E. Game with String,00002,implementation|probabilities|strings
958_F3. Lightsabers (hard),00002,fft
985_E. Pencils and Boxes,00002,binary search|data structures|dp|greedy|two pointers
p02578 AtCoder Beginner Contest 176 - Step,00002,
p02709 AtCoder Beginner Contest 163 - Active Infants,00002,
p02838 AtCoder Beginner Contest 147 - Xor Sum 4,00002,
p02975 AtCoder Grand Contest 035 - XOR Circle,00002,
p03111 AtCoder Beginner Contest 119 - Synthetic Kadomatsu,00002,
p03258 AtCoder Grand Contest 027 - ABBreviate,00002,
p03414 AtCoder Regular Contest 092 - Two Faced Edges,00002,
p03574 AtCoder Beginner Contest 075 - Minesweeper,00002,
p03729 AtCoder Beginner Contest 060 - Shiritori,00002,
p03893 CODE FESTIVAL 2016 Relay (Parallel) - Trichotomy,00002,
p04052 AtCoder Grand Contest 001 - Wide Swap,00002,
p00131 Doctor's Strange Particles,00002,
p00264 East Wind,00002,
p00451 Common Sub-String,00002,
p00642 Ben Toh,00002,
p00786 BUT We Need a Diagram,00002,
p00918 Dragon's Cruller,00002,
p01051 Squid Ink,00002,
p01183 Tetrahedra,00002,
p01320 Magical Island 2,00002,
p01488 TransferTrain,00002,
p01650 Stack Maze,00002,
p01801 Wall Making Game,00002,
p01935 Protect from the enemy attack,00002,
p02074 N-by-M grid calculation,00002,
p02216 Array Game,00002,
p02369 Cycle Detection for a Directed Graph,00002,
1000_C. Covered Points Count,00002,data structures|implementation|sortings
1025_D. Recovering BST,00002,brute force|dp|math|number theory|trees
1045_F. Shady Lady,00002,geometry|math
1068_F. Knights,00002,constructive algorithms
1090_J. Two Prefixes,00002,strings
110_B. Lucky String,00002,constructive algorithms|strings
1139_E. Maximize Mex,00002,flows|graph matchings|graphs
1157_E. Minimum Array,00002,binary search|data structures|greedy
117_B. Very Interesting Game,00002,brute force|number theory
1198_C. Matching vs Independent Set,00002,constructive algorithms|graphs|greedy|sortings
1215_B. The Number of Products,00002,combinatorics|dp|implementation
1238_D. AB-string,00002,binary search|combinatorics|dp|strings
1256_E. Yet Another Division Into Teams,00002,dp|greedy|sortings
127_E. E-reader Display,00002,constructive algorithms|greedy
12_D. Ball,00002,data structures|sortings
1323_F. Reality Show,00002,bitmasks|dp
1342_E. Placing Rooks,00002,combinatorics|fft|math
1364_E. X-OR,00002,bitmasks|constructive algorithms|divide and conquer|interactive|probabilities
1384_F. Rearrange,00002,brute force|constructive algorithms|graphs|greedy|sortings
1406_C. Link Cut Centroids,00002,constructive algorithms|dfs and similar|graphs|trees
1427_D. Unshuffling a Deck,00002,constructive algorithms|implementation
1450_D. Rating Compression,00002,binary search|data structures|greedy|implementation|two pointers
1474_B. Different Divisors,00002,binary search|constructive algorithms|greedy|math|number theory
149_D. Coloring Brackets,00002,dp
1523_D. Love-Hate,00002,bitmasks|brute force|dp|probabilities
155_C. Hometask,00002,greedy
177_D1. Encrypting Messages,00002,brute force
198_D. Cube Snake,00002,constructive algorithms
221_E. Little Elephant and Shifts,00002,data structures
245_F. Log Stream Analysis,00002,binary search|brute force|implementation|strings
270_D. Greenhouse Effect,00002,dp
294_A. Shaass and Oskols,00002,implementation|math
317_D. Game with Powers,00002,dp|games
341_D. Iahub and Xors,00002,data structures
365_A. Good Number,00002,implementation
388_E. Fox and Meteor Shower,00002,geometry
409_C. Magnum Opus,00002,*special
436_D. Pudding Monsters,00002,dp
459_E. Pashmak and Graph,00002,dp|sortings
480_D. Parcels,00002,dp|graphs
505_D. Mr. Kitayuta's Technology,00002,dfs and similar
529_C. Rooks and Rectangles,00002,data structures|sortings
554_E. Love Triangles,00002,dfs and similar|dsu|graphs
580_D. Kefa and Dishes,00002,bitmasks|dp
602_C. The Two Routes,00002,graphs|shortest paths
625_A. Guest From the Past,00002,implementation|math
673_C. Bear and Colors,00002,implementation
698_D. Limak and Shooting Points,00002,brute force|geometry|math
719_E. Sasha and Array,00002,data structures|math|matrices
740_B. Alyona and flowers,00002,constructive algorithms
764_A. Taymyr is calling you,00002,brute force|implementation|math
787_C. Berzerk,00002,dfs and similar|dp|games
808_G. Anthem of Berland,00002,dp|strings
833_C. Ever-Hungry Krakozyabra,00002,brute force|combinatorics|greedy|math
854_A. Fraction,00002,brute force|constructive algorithms|math
878_D. Magic Breeding,00002,bitmasks
902_A. Visiting a Friend,00002,greedy|implementation
924_C. Riverside Curio,00002,data structures|dp|greedy
952_E. Cheese Board,00002,
97_B. Superset,00002,constructive algorithms|divide and conquer
99_B. Help Chef Gerasim,00002,implementation|sortings
p02539 ACL Beginner Contest - Heights and Pairs,00002,
p02670 AtCoder Grand Contest 044 - Joker,00002,
p02799 Keyence Programming Contest 2020 - Bichromization,00002,
p02935 AtCoder Beginner Contest 138 - Alchemist,00002,
p03072 AtCoder Beginner Contest 124 - Great Ocean View,00002,
p03214 Dwango Programming Contest V - Thumbnail,00002,
p03363 AtCoder Grand Contest 023 - Zero-Sum Ranges,00002,
p03521 CODE FESTIVAL 2017 Exhibition (Parallel) - Awkward,00002,
p03686 AtCoder Regular Contest 076 - Exhausted?,00002,
p03839 AtCoder Grand Contest 008 - Contiguous Repainting,00002,
p04006 AtCoder Grand Contest 004 - Colorful Slimes,00002,
p00092 Square Searching,00002,
p00224 Bicycle Diet,00002,
p00386 Gathering,00002,
p00602 Fibonacci Sets,00002,
p00738 Roll-A-Big-Ball,00002,
p00878 Origami Through-Hole,00002,
p01009 Room of Time and Spirit,00002,
p01141 Lifeguard in the Pool,00002,
p01280 Galaxy Wide Web Service,00002,
p01450 My friends are small,00002,
p01600 Tree Construction,00002,
p01756 Longest Match,00002,
p01896 Folding Paper,00002,
p02033 Arrow,00002,
p02176 Shortest Crypt,00002,
p02319 0-1 Knapsack Problem II,00002,
p02464 Set Intersection,00002,
1000_A. Codehorses T-shirts,00002,greedy|implementation
1025_B. Weakened Common Divisor,00002,brute force|greedy|number theory
1045_D. Interstellar battle,00002,math|probabilities|trees
1068_D. Array Without Local Maximums ,00002,dp
1090_C. New Year Presents,00002,constructive algorithms|data structures
1109_F. Sasha and Algorithm of Silence's Sounds,00002,data structures|trees
1139_C. Edgy Trees,00002,dfs and similar|dsu|graphs|math|trees
1157_C2. Increasing Subsequence (hard version),00002,greedy
1179_E. Alesya and Discrete Math,00002,divide and conquer|interactive
1198_A. MP3,00002,sortings|two pointers
1214_H. Tiles Placement,00002,constructive algorithms|dfs and similar|trees
1238_B. Kill 'Em All,00002,greedy|sortings
1256_C. Platforms Jumping,00002,greedy
127_C. Hot Bath,00002,binary search|brute force|math
12_B. Correct Solution?,00002,implementation|sortings
1323_D. Present,00002,binary search|bitmasks|constructive algorithms|data structures|math|sortings
1342_C. Yet Another Counting Problem,00002,math|number theory
1364_C. Ehab and Prefix MEXs,00002,brute force|constructive algorithms|greedy
1384_D. GameGame,00002,bitmasks|constructive algorithms|dp|games|greedy|math
1406_A. Subset Mex,00002,greedy|implementation|math
1427_B. Chess Cheater,00002,greedy|implementation|sortings
1450_B. Balls of Steel,00002,brute force|geometry|greedy
1473_G. Tiles,00002,combinatorics|dp|fft|math
149_B. Martian Clock,00002,implementation
1523_B. Lord of the Values,00002,constructive algorithms
155_A. I_love_%username%,00002,brute force
177_C1. Party,00002,dfs and similar|dsu|graphs
198_B. Jumping on Walls,00002,shortest paths
221_C. Little Elephant and Problem,00002,implementation|sortings
245_D. Restoring Table,00002,constructive algorithms|greedy
270_B. Multithreading,00002,data structures|greedy|implementation
293_D. Ksusha and Square,00002,geometry|math|probabilities|two pointers
317_B. Ants,00002,brute force|implementation
341_B. Bubble Sort Graph,00002,binary search|data structures|dp
364_D. Ghd,00002,brute force|math|probabilities
388_C. Fox and Card Game,00002,games|greedy|sortings
409_A. The Great Game,00002,*special
436_B. Om Nom and Spiders,00002,implementation|math
459_C. Pashmak and Buses,00002,combinatorics|constructive algorithms|math
480_B. Long Jumps,00002,binary search|greedy|implementation
505_B. Mr. Kitayuta's Colorful Graph,00002,dfs and similar|dp|dsu|graphs
529_A. And Yet Another Bracket Sequence,00002,data structures|greedy|hashing|string suffix structures|strings
554_C. Kyoya and Colored Balls,00002,combinatorics|dp|math
580_B. Kefa and Company,00002,binary search|sortings|two pointers
602_A. Two Bases,00002,brute force|implementation
624_D. Array GCD,00002,dp|greedy|number theory
673_A. Bear and Game,00002,implementation
698_B. Fix a Tree,00002,constructive algorithms|dfs and similar|dsu|graphs|trees
719_B. Anatoly and Cockroaches,00002,greedy
73_F. Plane of Tanks,00002,brute force|geometry
763_D. Timofey and a flat tree,00002,data structures|graphs|hashing|shortest paths|trees
787_A. The Monster,00002,brute force|math|number theory
808_E. Selling Souvenirs,00002,binary search|dp|greedy|ternary search
833_A. The Meaningless Game,00002,math|number theory
853_D. Michael and Charging Stations,00002,binary search|dp|greedy
878_B. Teams Formation,00002,data structures|implementation
901_D. Weighting a Tree,00002,constructive algorithms|dfs and similar|graphs
924_A. Mystical Mosaic,00002,greedy|implementation
952_C. Ravioli Sort,00002,implementation
979_E. Kuro and Topological Parity,00002,dp
999_F. Cards and Joy,00002,dp
p02537 ACL Beginner Contest - Flat Subsequence,00002,
p02668 NOMURA Programming Competition 2020 - Sorting Game,00002,
p02797 Keyence Programming Contest 2020 - Subarray Sum,00002,
p02933 AtCoder Beginner Contest 138 - Red or Not,00002,
p03069 Tenka1 Programmer Beginner Contest 2019 - Stones,00002,
p03212 AtCoder Beginner Contest 114 - 755,00002,
p03361 AtCoder Beginner Contest 096 - Grid Repainting 2,00002,
p03519 CODE FESTIVAL 2017 Elimination Tournament Round 1 (Parallel) - Paired Parentheses,00002,
p03684 AtCoder Regular Contest 076 - Built?,00002,
p03837 AtCoder Beginner Contest 051 - Candidates of No Shortest Paths,00002,
p04004 AtCoder Regular Contest 061 - Card Game for Three,00002,
